iter	MultiClass
0	6.147979711
1	6.100755881
2	6.066495287
3	6.017976963
4	5.968591034
5	5.933486824
6	5.878985123
7	5.837184833
8	5.781867161
9	5.745501389
10	5.713052437
11	5.684975248
12	5.643560786
13	5.614964418
14	5.565627277
15	5.534427284
16	5.50316468
17	5.478609541
18	5.440644352
19	5.419571418
20	5.398265931
21	5.375282154
22	5.347557862
23	5.317103911
24	5.304797678
25	5.304267115
26	5.289470688
27	5.272486957
28	5.235709744
29	5.227206088
30	5.226889376
31	5.196713107
32	5.180407522
33	5.165334227
34	5.146873862
35	5.118116088
36	5.1045983
37	5.078526277
38	5.059003158
39	5.038038776
40	5.02176531
41	5.000466327
42	4.968068602
43	4.929821259
44	4.920610185
45	4.907707932
46	4.890483923
47	4.870606282
48	4.844436277
49	4.840767053
50	4.800227512
51	4.778560184
52	4.76506801
53	4.742207828
54	4.731733159
55	4.71945132
56	4.700347367
57	4.680265632
58	4.660747391
59	4.648435467
60	4.624094586
61	4.611045158
62	4.600572114
63	4.582945202
64	4.567299467
65	4.53253555
66	4.506481415
67	4.493771466
68	4.46671109
69	4.450340455
70	4.436322596
71	4.406909037
72	4.387184264
73	4.35840169
74	4.325072531
75	4.306654448
76	4.281304073
77	4.274723456
78	4.253264695
79	4.226875959
80	4.203850307
81	4.191137919
82	4.171709936
83	4.141436092
84	4.10577977
85	4.086160703
86	4.052625823
87	4.032721349
88	4.006440352
89	3.970509195
90	3.938835964
91	3.909905401
92	3.872953772
93	3.829445108
94	3.796865243
95	3.77695589
96	3.75974733
97	3.728091174
98	3.691357056
99	3.681678029
100	3.656135756
101	3.624204358
102	3.584767414
103	3.53820628
104	3.518496956
105	3.472534281
106	3.43367059
107	3.39846169
108	3.370345472
109	3.362603307
110	3.342781162
111	3.329918346
112	3.289254601
113	3.256301918
114	3.222937591
115	3.196663506
116	3.166720401
117	3.137456457
118	3.097768258
119	3.070591605
120	3.023105948
121	2.983490117
122	2.949885106
123	2.907623571
124	2.86193004
125	2.819628662
126	2.775397537
127	2.747053643
128	2.702567603
129	2.684252584
130	2.66900833
131	2.633507721
132	2.599281483
133	2.559281247
134	2.523239504
135	2.495216592
136	2.453057511
137	2.435340138
138	2.396392085
139	2.358505567
140	2.317840602
141	2.279649161
142	2.252084241
143	2.21434876
144	2.176880594
145	2.141570867
146	2.103635764
147	2.06600233
148	2.030084793
149	1.998065374
150	1.961927682
151	1.931280208
152	1.895662509
153	1.863373946
154	1.82930769
155	1.795078605
156	1.763427734
157	1.729538536
158	1.69635584
159	1.664021437
160	1.637238946
161	1.607686547
162	1.577808695
163	1.547095255
164	1.517638398
165	1.488175544
166	1.45870649
167	1.431991895
168	1.406442609
169	1.379222047
170	1.351818329
171	1.325467201
172	1.299359705
173	1.273800967
174	1.248620128
175	1.223778768
176	1.199333807
177	1.175777693
178	1.152974836
179	1.129445047
180	1.107413642
181	1.086486257
182	1.06493358
183	1.043932303
184	1.024090744
185	1.004404594
186	0.9855993622
187	0.9674615026
188	0.9484225995
189	0.9300864392
190	0.9119650454
191	0.8940321949
192	0.8761347152
193	0.86236618
194	0.8456495096
195	0.8288680433
196	0.812437237
197	0.7972460897
198	0.7817605914
199	0.7669051629
