iter	Passed	Remaining
0	8619	1715261
1	18933	1874381
2	20492	1345667
3	22215	1088578
4	23836	929616
5	24731	799664
6	25644	707054
7	26559	637434
8	27496	583538
9	28380	539233
10	29274	502986
11	30124	471954
12	30956	445294
13	31784	422279
14	32554	401507
15	33296	382910
16	34119	367283
17	34864	352521
18	35661	339721
19	36407	327668
20	37168	316819
21	37937	306944
22	38875	299171
23	39776	291693
24	40573	284011
25	40794	273011
26	41652	266883
27	42507	261117
28	43441	256153
29	44205	250499
30	44428	242208
31	45269	237663
32	46127	233431
33	46978	229363
34	47853	225593
35	48742	222049
36	49591	218470
37	50488	215238
38	51395	212171
39	52284	209137
40	53033	205666
41	53842	202551
42	54840	200230
43	55811	197877
44	56576	194875
45	57428	192260
46	58185	189410
47	59059	187022
48	59906	184609
49	60691	182075
50	61597	179960
51	62483	177838
52	63382	175795
53	64262	173746
54	65146	171749
55	66010	169742
56	66843	167694
57	67652	165631
58	68455	163596
59	69197	161460
60	70025	159566
61	70834	157663
62	71670	155854
63	72480	154020
64	73267	152170
65	74100	150446
66	74950	148782
67	75756	147056
68	76574	145379
69	77403	143749
70	78223	142124
71	79128	140672
72	80115	139379
73	81142	138161
74	82046	136744
75	82909	135273
76	83788	133843
77	84684	132455
78	85589	131093
79	86485	129728
80	87335	128307
81	88171	126881
82	89077	125567
83	90054	124361
84	91006	123126
85	91864	121774
86	92786	120516
87	93743	119310
88	94653	118050
89	95563	116799
90	96469	115551
91	97365	114298
92	98226	113013
93	99129	111784
94	99999	110525
95	100826	109228
96	101635	107922
97	102534	106719
98	103425	105514
99	104197	104197
100	105033	102953
101	105889	101737
102	106787	100567
103	107692	99408
104	108556	98218
105	109466	97074
106	110377	95935
107	111249	94768
108	112090	93580
109	112874	92351
110	113677	91146
111	114468	89939
112	115324	88789
113	116164	87632
114	116973	86458
115	117773	85283
116	118614	84145
117	119489	83035
118	120420	81966
119	121278	80852
120	122162	79758
121	123047	78669
122	123937	77586
123	124825	76505
124	125687	75412
125	126569	74334
126	127442	73254
127	128281	72158
128	129145	71080
129	129975	69986
130	130761	68874
131	131607	67797
132	132454	66725
133	133312	65661
134	134165	64597
135	135008	63533
136	135877	62483
137	136672	61403
138	137540	60359
139	138403	59315
140	139262	58272
141	140118	57231
142	140959	56186
143	141824	55154
144	142689	54123
145	143563	53098
146	144493	52096
147	145442	51101
148	146366	50098
149	147274	49091
150	148203	48092
151	149134	47095
152	150082	46103
153	151010	45106
154	151929	44108
155	152857	43113
156	153775	42116
157	154704	41124
158	155636	40132
159	156556	39139
160	157508	38154
161	158461	37169
162	159399	36182
163	160340	35196
164	161285	34212
165	162237	33229
166	163168	32242
167	164110	31259
168	165051	30275
169	165974	29289
170	166907	28306
171	167829	27321
172	168776	26340
173	169712	25359
174	170665	24380
175	171593	23399
176	172520	22417
177	173445	21437
178	174377	20457
179	175298	19477
180	176153	18491
181	177011	17506
182	177865	16523
183	178726	15541
184	179582	14560
185	180446	13582
186	181300	12603
187	182157	11627
188	183031	10652
189	183894	9678
190	184756	8705
191	185633	7734
192	186503	6764
193	187281	5792
194	188133	4823
195	189003	3857
196	189863	2891
197	190729	1926
198	191595	962
199	192446	0
